판매,비중,,구분,2018년,2019년,2020년,2021년,2022년
판매,비중,국내,휘발유,39.50%,44.10%,50.30%,50.60%,51.50%
판매,비중,국내,경유,37.90%,32.60%,27.90%,26.70%,22.40%
판매,비중,국내,LPG,6.50%,7.40%,6.70%,6.10%,5.00%
판매,비중,국내,전기,1.70%,1.70%,1.90%,4.30%,7.40%
판매,비중,국내,수소,0.00%,0.20%,0.30%,0.60%,0.70%
판매,비중,국내,소계,85.60%,86.30%,86.90%,83.90%,83.10%
판매,비중,수입,휘발유,8.30%,9.20%,8.80%,12.30%,12.70%
판매,비중,수입,경유,5.90%,4.20%,3.80%,2.30%,2.00%
판매,비중,수입,LPG,0.00%,0.00%,0.00%,0.00%,0.00%
판매,비중,수입,전기,0.20%,0.40%,0.50%,1.50%,2.20%
판매,비중,수입,수소,0.00%,0.00%,0.00%,0.00%,0.00%
판매,비중,수입,소계,14.40%,13.70%,13.10%,16.10%,16.90%
