구분,1월 이용객,1월 순매출액,2월 이용객,2월 순매출액,3월 이용객,3월 순매출액,4월 이용객,4월 순매출액,5월 이용객,5월 순매출액,6월 이용객,6월 순매출액,7월 이용객,7월 순매출액,8월 이용객,8월 순매출액,9월 이용객,9월순매출액,10월 이용객,10월 순매출액,11월 이용객,11월 순매출액,12월 이용객,12월 순매출액
내국인,417529,38997288670,410430,39808353110,435635,40396983100,473281,45327084870,467379,46486132090,469914,45254817930,447084,43454999270,500645,49477653240,467454,44232200300,504049,46370635620,476671,44613758830,419939,39591953640
일본인,136,11127380,134,13755300,204,21213280,210,20840840,327,36342830,231,23321080,204,21057500,296,31118340,336,30977370,316,30662580,221,23092700,144,15331160
중국인,6369,545647180,8860,739594820,7845,745487870,11456,1085619430,11367,1136269510,11631,1156603510,16051,1586227320,14220,1417407980,9906,894095690,9969,976520150,5946,595476540,4959,552580390
동남아,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
기타,1292,130805280,1465,139432030,2245,233564200,2956,310885230,2879,282633510,2506,250540500,2352,242730370,1881,183522970,2699,250315530,3623,327034400,2693,235331050,2972,274463740
대만,212,16738660,278,23722800,272,23903460,338,29839970,273,27342350,317,26269680,305,30756490,289,30883260,303,21924600,285,23744970,243,16901670,268,23262920
미국인,486,68873710,549,76524970,700,94072210,957,142895670,1173,154846060,1078,153618070,1070,159313980,788,114877980,1079,142661730,1285,168693290,886,113130180,646,84880500
러시아인,18,2187220,30,4448600,43,5265920,59,10935600,63,7140040,72,9833620,108,10909490,106,11550570,87,7521050,60,5824070,61,5985540,41,3772680
태국인,20,1611130,24,2585130,42,4935610,77,9153730,87,12160110,58,6045930,73,5970860,47,4704680,37,3750150,50,4415080,44,5144680,105,11593030
홍콩인,59,5394140,92,9228550,168,12893690,186,15561920,154,13298770,178,16218920,124,9035660,139,15851830,143,14472690,177,15124910,149,12469840,101,12961620
필리핀인,20,906080,34,2364240,40,3617190,75,6562750,62,7162500,46,3045630,42,4289440,53,4199450,45,4230000,47,4692690,50,4303260,53,5154040
해외교포,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
